제목,저자,역자,글그림,그림,기획,감수,글,출판사,출간일,가격,평점,리뷰수,상세페이지링크,페이지수,카테고리,책 설명
체인소 맨 6,후지모토 타츠키,,,,,,,학산문화사,2021년 05월,5400,9.9,296,https://www.yes24.com/product/goods/110328349,없음,없음,책소개 없음
경험의 멸종,크리스틴 로젠,,,,,,,어크로스,2025년 05월,17820,9.0,68,https://www.yes24.com/product/goods/146657579,364,국내도서 인문 인문 교양 교양으로 읽는 인문,"“멸종 위기에 놓인 ‘인간다운 삶’을 구출하라”대면 소통에서 길찾기의 감각까지,경험의 순간을 되찾기 위한 광범위한 지적 성찰이 시작된다우리의 일상은 인공지능을 비롯한 디지털 기술의 터전이 되어가고 있다. 우리는 챗GPT에게 문서 요약을 맡기고, 비대면 미팅 플랫폼을 통해 소통하고, 소셜 미디어에 실시간으로 일상을 업로드한다. 현실과 디지털의 경계는 이미 무너졌으며, 이제는 기술로 매개된 경험이 인간의 직접 경험을 대체해 나가고 있다. 인간이라면 누구나 겪게 된다고 여겼던 핵심적인 직접 경험들, 예컨대 대면 소통이나 손으로 쓰고 그리는 일, 무언가를 기다리는 순간과 공공성을 감각하는 일 등이 멸종 위기에 처해 있다. 문화 비평가이자 사학자인 크리스틴 로젠은 『경험의 멸종』에서 경험이 소멸하는 21세기적 현상을 탐구하고 그 소멸이 갖는 의미를 철학적으로 분석한다. 대중문화, 과학, 정치, 법률 등 수많은 사례를 탐사하는 로젠의 작업은 인간의 조건이 되었던 경험들이 사라져가는 지금, 우리에게 이 흐름을 전복할 지적 근거를 제공한다. 출간 이후 아마존 사회과학 분야에서 베스트셀러 1위 자리를 차지한 이 책은 [가디언], [에스콰이어]를 비롯한 유수 언론의 주목을 받았다."
체인소 맨 13,후지모토 타츠키,,,,,,,학산문화사,2023년 04월,5400,9.9,366,https://www.yes24.com/product/goods/118470231,없음,없음,책소개 없음
넥서스,유발 하라리,,,,,,,김영사,2024년 10월,25020,9.4,352,https://www.yes24.com/product/goods/134602629,684,국내도서 인문 인문 교양 교양으로 읽는 인문,"◆ 『사피엔스』 『호모 데우스』 유발 하라리 6년 만의 신작◆ 출간 즉시 〈뉴욕타임스〉 〈선데이타임스〉 아마존 베스트셀러비인간 지능의 위협과 우리의 미래에 대한 경고“AI는 우리 종의 사뿐만 아니라모든 생명체의 진화 경로를 바꿀지도 모른다.” 글로벌 베스트셀러 『사피엔스』 『호모 데우스』 『21세기를 위한 21가지 제언』으로 우리 시대 가장 중요한 사상가의 반열에 오른 유발 하라리 교수가 압도적 통찰로 AI 혁명의 의미와 본질을 꿰뚫어 보고 인류에게 남은 기회를 냉철하게 성찰하는 신작으로 돌아왔다. 생태적 붕괴와 국제정치적 긴장에 이어 친구인지 적인지 모를 AI 혁명까지, 인간 본성의 어떤 부분이 우리를 자기 파괴의 길로 내모는 것일까? AI는 이전 정보 기술과 무엇이 다르고, 왜 위험할까? 멸종을 향해 달려가는 가장 영리한 동물, 우리 사피엔스는 생존과 번영의 길을 찾을 수 있을까?상아탑 속 자신의 방에만 안주하지 않고 정치학, 종교학, 매체학, 진화생물학, 컴퓨터과학 등 다양한 학제 간 지식을 습득해온 하라리 교수의 독창적인 사적 시각과 스토리텔링은 인류를 위한 중요한 선택의 순간에 빛을 발한다. 『사피엔스』 『호모 데우스』에서 펼쳤던 그의 논지가 ‘정보’를 중심으로 통합되어 더 정교하게 실체를 드러내는 『넥서스』에서 우리는 하라리 교수의 도한 ‘현실주의’적 해법을 만난다. 비인간 지능이 우리의 존재를 위협하는 현재, 우리는 실수할 여유가 없다."
내가 없던 어느 밤에,이꽃님,,,,,,,우리학교,2025년 08월,12600,9.7,33,https://www.yes24.com/product/goods/152297143,228,국내도서 청소년 청소년 문학,"밀리언셀러 작가 이꽃님 장편 신작“10년 동안 마음에 품고만 있던 이야기를 마침내 세상 밖에 내놓는다.”더는 돌아가지 않는 관람차, 조명도 음악도 없이 멈춰 버린 회전목마, 바람에 삐거덕대는 녹슨 놀이 기구들. 문 닫은 놀이공원을 품은 작은 소도시에서 하나둘 미심쩍은 일들이 일어나고, 만 열일곱 소녀의 실종 사건을 계기로 묻어 두었던 10년 전 사건의 비밀이 밝혀지기 시작하는데…. 우리 청소년 문학의 결정적 이름이 된 밀리언셀러 이꽃님 작가가 10년 동안 가슴속에 품어 온 이야기를 장편소설  『내가 없던 어느 밤에』로 풀어놓았다.이꽃님 작가는 한번 펼치면 눈을 뗄 수 없는 전개로 셀 수 없는 독자에게 사랑받는 이야기꾼인 동시에, 우리 세계의 문제들을 정면으로 응시하는 작가다. 발표하는 작품마다 공전의 베스트셀러가 된 것은 재미 너머에 시대정신을 비껴가지 않는 메시지가 늘 존재했기 때문일 것이다. 『내가 없던 어느 밤에』는 그런 작가적 량이 특히 빛을 발하는 작품이다. 슬픔을 공유한 사람들만이 나눌 수 있는 이야기가 있다. 상실을 겪은 이들만이 가지는 아픔과 후회가 있다. 문 닫은 한겨울의 놀이공원에서 일어난 기묘하고 아스라한 사건은, 주인공인 세 아이들이 각자 감춰 온 슬픔과 죄책감을 나누는 밤으로 이어진다. ‘내가 없던 어느 밤에’ 일어난 일을 비로소 마주한 이들은, 마침내 과거와 현재를 연결하며 새로운 삶의 출발선 앞에 선다. 어떤 이야기는 잊지 않는 것만으로도 모두의 삶을 나아가게 만든다. 그래서 이꽃님의 이야기는 내일을 위한 문학이다. 책을 들추기 싫어하는 청소년들을 문학의 세계로 이끌기에, 그렇게 펼친 책에서 자신과 세계를 새롭게 만나도록 하기에."
데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),데일 카네기,,,,,,,현대지성,2019년 10월,10350,9.6,1322,https://www.yes24.com/product/goods/79297023,352,국내도서 자기계발 인간관계 인간관계 일반,"*온·오프라인 서점과 모든 유통 플랫폼에서종이책, 전자책, 오디오북 전 영에 걸쳐『인간관계론』 한글판 판매량 압도적 1위누적 판매량 500,000+ 독자 리뷰 10,000+ 평점 4.8/5.0 * 영문학 박사 임상훈이 원작의 의도와 말맛을고스란히 살려 우리말로 옮긴, 가장 카네기다운 번 * 최초·최고의 자기계발서로 꼽히는 카네기 불후의 명를개정판 누락 내용(5~6부)까지 온전히 담아낸 초판 완본사람의 마음을 사로잡는 가장 빠르고 확실한 방법!데일 카네기가 전하는, ‘성공하는 인간관계’의 비밀사람을 다루는 핵심 원리는 무엇일까? 어떻게 하면 호감 가는 사람이 될 수 있을까? 원하는 것을 얻어내는 가장 효과적인 방법은 무엇일까?  인간관계는 친구를 만들고 적을 만들지 않는 것에서 시작된다. 『데일 카네기 인간관계론』은 이런 인간관계의 핵심을 꿰뚫는다. “친구를 만들고, 사람을 설득하는 법”이라는 제목으로 1936년 출간된 데일 카네기의 책은 세기가 바뀐 지금까지도 전 세계 수많은 사람에게 영향을 끼치고 있다. 이후에 나온 모든 자기계발서가 이 책의 영향을 받았다고 해도 과언이 아니다. 세계적인 투자자 워런 버핏의 인생을 바꾼 책이자, 누구나 꼭 읽어야 할 필독서이기도 하다. 『데일 카네기 인간관계론』은 가장 단순하고 실용적인 원칙들로 복잡한 인간관계에 대한 우리의 고민을 명쾌하게 해결해준다. 이 책은 1936년 출간된 초판을 완해 원전의 맛을 살렸다. 데일 카네기가 그 당시 무엇을 보고 어떤 생각을 하며 이 책을 썼는지 이해할 수 있게 된 셈이다. 카네기의 생생한 말과 함께 시대를 초월하고 지을 뛰어넘은 세계적인 베스트셀러를 만나보자."
나는 메트로폴리탄 미술관의 경비원입니다 (25만 부 기념 전면 개정판),패트릭 브링리,,,,,,,웅진지식하우스,2025년 09월,16650,9.8,8,https://www.yes24.com/product/goods/154168402,368,국내도서 에세이 예술 에세이,"★ 대한민국 3대 서점 종합 베스트셀러 1위 ★★ 평론가 이동진 선정 ‘올해의 책’ ★★ 아마존 40주 연속 베스트셀러 ★초판 출간 이래 독자들의 뜨거운 사랑을 받은 에세이『나는 메트로폴리탄 미술관의 경비원입니다』25만 부 기념 전면 개정판 출간!“나의 결혼식이 열렸어야 했던 날, 형의 장례식이 거행되었다.그해 가을, 나는 다니던 《뉴요커》를 그만두고 메트로폴리탄 미술관의 경비원으로 지원했다. 그렇게 한동안은 고요하게 서 있고 싶었다”인류의 위대한 걸작들을 가장 가까이서 지켜본 한 남자의삶과 죽음, 인생과 예술에 대한우아하고 지적인 10년의 회고 2023년 초판 출간 이래 독자들의 뜨거운 사랑을 받은 에세이 『나는 메트로폴리탄 미술관의 경비원입니다』가 ‘25만 부 기념 전면 개정판’으로 새롭게 태어났다. 2024년 새해 벽두부터 한국 사회에 ‘메트로폴리탄 미술관 열풍’을 불러일으킨 지 1년 9개월 만이다. 국내 25만 부 판매를 기념해 제작된 이번 개정판은 초판과 본문의 모든 내용은 동일하나, 자가 언급한 167가지 예술 작품을 부록이 아닌 본문에서 감상하고 싶다는 국내 독자들의 지속적인 요청을 반영했다. 그동안 각 작품의 고해상도 이미지와 핵심 정보를 담은 QR코드를 한정판 특별부록으로만 제공해왔으나 이제는 본문 하단에 삽입해 누구든 책을 읽으며 그 자리에서 예술 작품을 감상할 수 있게 한 것이다. 이는 작권사의 특별 허가를 얻어 이루어진 것으로, 전 세계 여러 번본 중 오직 한국어판에만 시도된 이례적인 경우다. 한편 전면 개정판은 뉴욕 특유의 감성과 정취가 가득한 새로운 표지로 독자들을 찾아간다. 메트로폴리탄 미술관이 위치한 센트럴파크 호숫가의 잔잔하고 평온한 풍경은 상실의 아픔 속에서 길어 올린 삶과 예술의 의미를 다시 한 번 음미하게 해준다. 때때로 소용돌이치는 삶에서 사색과 치유가 필요한 이들, 오랜 슬픔과 무기력에서 한 걸음 내딛고 싶은 이들에게 이번 25만 부 기념 전면 개정판은 맑고 푸른 가을날의 반짝이는 햇살처럼 따스한 위로가 되어줄 것이다."
원펀맨 ONE PUNCH MAN 33,ONE,,,,,,,대원,2025년 09월,5400,10.0,34,https://www.yes24.com/product/goods/154926081,216,국내도서 만화 라이트노벨 액션,책소개 없음
우리가 사랑한 단어들,신효원,,,,,,,생각지도,2025년 10월,16920,10.0,32,https://www.yes24.com/product/goods/153526358,276,국내도서 인문 인문 교양 인문에세이,"ㆍ이금희 방송인, 강원국 작가 강력추천 ㆍ28만 부 베스트셀러 신효원 작가의 신작 “이토록 다정하고 보드라운 우리말 책이라니”감정과 감각을 더 풍부하고 세심하게말과 글을 더 정확하고 다채롭게28개 주제어, 750여 개의 순우리말 단어들순우리말이 건네는 다정한 안부 같은 책 《우리가 사랑한 단어들》이 출간되었다. 이 책은 사전이나 교과서 같은 책 말고 보드랍고 읽는 맛이 살아 있는 우리말 책이 있으면 좋겠다는 생각에서 시작된 기획이다. 이러한 취지에 맞게 21년 차 한국어 교육 전문가이자 28만 부 베스트셀러 작가 신효원은 삶 속에서 피어난 감각과 감정을 28개 주제어로 구분하고, 우리가 사랑해 왔고 앞으로 사랑하게 될 750여 개 단어들을 소개한다. 단순히 단어를 모아둔 책은 아니다. 하나의 단어가 어떻게 우리의 감정과 삶을 어루만지는지, 그 단어에 담긴 정서와 분위기를 따스한 에세이로 풀어낸 다음, 해당 주제어와 관련된 순우리말을 자분자분 들려주는 식이다. 여기에 강원국 작가의 추천사처럼 “한 편의 글을 응축한 시화전”까지 펼쳐지는, 마치 시를 읽듯 혹은 산책하듯 우리말을 천천히 음미할 수 있는 구성이다. 무엇보다 줄임말, 신조어, 외래어 등 잠깐 유행하다가 빠르게 사라지는 말 대신 오래도록 빛나는 순우리말의 아름다움을 만날 수 있는 책이다. ‘꽃멀미’, ‘구뜰하다’, ‘마음자리’, ‘그느르다’ 같은 단어들은 한번 들으면 쉬이 잊기 어렵고, 알고 나면 써보고 싶어지는 힘이 있다. 문해력과 어휘력 부족을 탓하며 단어를 외우는 것이 아니라 단어를 머금고 느끼며 마음을 웅얼거리게 된다. 그렇게 마음에 들어온 단어는 우리의 말과 글, 그리고 삶에 품위를 더해준다. “인간의 영인 사색과 상상을 엿볼 수 있는, AI는 쓸 수 없는 글”이라는 이금희 아나운서의 추천사처럼 필사하면 좋을 아름다운 문장들이 가득하다."
가브리엘의 잉글리시 다이어리,Thomas Gabrielle Allanta,,,,,,,상상스퀘어,2025년 10월,24300,9.3,3,https://www.yes24.com/product/goods/155058892,496,국내도서 국어 외국어 사전 영어 영어회화 생활영어,"영어식 사고를 배우는 최고의 방법가브리엘의 영어 일기를 따라 읽고 말하는 50일당신의 영어가 달라집니다!『가브리엘의 잉글리시 다이어리』는 미국인 가브리엘이 한국에서 겪은 일상을 ‘일기’ 형식으로 담아낸 영어 회화 학습서입니다. 가브리엘의 하루를 따라가면서 원어민이 실제로 사용하는 생활 영어를 자연스럽게 익힐 수 있도록 구성되어 있습니다. 가브리엘의 일상을 들여다 보며, 원어민의 살아있는 영어를 쉽고 재미있게 배울 수 있습니다.하루 한 편, 짧고 매혹적인 영어 일기를 소리 내어 읽다 보면, 어느새 원어민처럼 말하고 있는 자신을 발견할 수 있습니다. 본문의 모든 문장의 핵심 포인트를 설명하는 Reading Points, 헷갈리는 표현의 뉘앙스까지 풀어 주는 ‘가브리엘 포인트’, 50일 동안 꾸준히 읽고 말하다 보면 당신의 영어 회화 실력은 눈에 띄게 달라져 있을 겁니다."
에그박사 16,에그박사,,,,,,풀잎친구,미래엔아이세움,2025년 09월,14220,10.0,64,https://www.yes24.com/product/goods/153126472,양,국내도서 어린이 1-2학년 1-2학년 만화 애니메이션 1-2학년 학습만화,"생생한 관찰 스토리와 귀여운 생물 도감이 만났다!《에그박사 16》는 인기 키즈 크리에이터 에그박사의 원작 영상을 생생한 관찰 스토리와 귀여운 생물 도감으로 재구성한 자연 생물 관찰 만화입니다. 과학자, 철학가, 예술가의 눈으로 곤충의 삶을 관찰했던 프랑스의 곤충학자 파브르의《곤충기》처럼 에그박사의 눈으로 바라본 신비롭고 놀라운 자연 생물의 이야기가 가득하지요. 주인공 에그박사와 양박사, 웅박사가 자연을 누비며 신기한 생물들을 관찰하는 짜릿한 메인 스토리와 의인화된 생물들의 서브 스토리의 구성은 자연에 대한 따뜻한 정서 공감을 끌어냄과 동시에 어린이들의 탐구 본능을 일깨워 줄 것입니다. 또한 중간중간 수록된 생물 퀴즈 게임, 생물 도감 그리기, 관찰 보고서 작성하기 등 다양한 워크북 활동은 어린이 독자들의 탐구력과 집중력, 사고력을 높여 줄 것입니다."
체인소 맨 15,후지모토 타츠키,,,,,,,학산문화사,2023년 12월,5400,9.8,232,https://www.yes24.com/product/goods/124213545,없음,없음,책소개 없음
세상은 실제로 어떻게 돌아가는가,바츨라프 스밀,,,,,,,김영사,2023년 03월,19800,9.3,82,https://www.yes24.com/product/goods/117652019,492,국내도서 사회 정치 사회비평 비판 국제사회비평,"세계적 환경과학자 바츨라프 스밀 신작!기후변화, 식량, 에너지, 팬데믹까지미래의 한계와 기회에 대비하기 위한 필독서세계는 어떻게 작동하는가? 무엇이 현대 문명사회를 지탱하는가? 빌 게이츠가 가장 신뢰하는 전방위 사상가 바츨라프 스밀이 식량과 환경부터 에너지, 바이러스, 기후변화까지 객관적 통계와 수학적 자료를 토대로 인류의 과거를 탐색하고, 현대 문명에 대한 오해와 진실을 밝힌다. 우리의 문명을 정확하게 이해하기 위한 과학적 접근으로 세상이 실제로 어떻게 돌아가는지를 파악하고, 더 냉철하고 철하게 미래의 한계와 기회를 통찰한다."
숲의 신,리즈 무어,,,,,,,은행나무,2025년 09월,18900,9.5,16,https://www.yes24.com/product/goods/154564516,696,국내도서 소설 시 희곡 영미소설 영미 장편소설,"정유정·스티븐 킹 강력 추천“긴 밤, 서늘한 달빛 아래 앉아 읽어보시라. 재미와 사유가 당신을 이야기 속으로 데려갈 테니.”뉴욕타임스 41주·아마존 27주 베스트셀러“바버라가 사라졌다. 사라질 만한 모든 아이 중에서 하필 그 아이가.”  치밀하게 쌓아가는 서사와 탁월한 캐릭터 묘사로 밀리언셀러를 기록한 화제작 《숲의 신》 한국어판이 출간된다. 리즈 무어는 사회적 맥락 속에서 훼손된 인간성을 포착하며 대중적이면서도 무게감 있는 작품들을 써온 작가다. 이번 작품에서 그는 실제 미제 실종 사건과 연쇄 살인을 모티프로 삼아, 사라진 한 소녀를 찾아가는 이야기로 시작해 일그러진 사회의 민낯을 차갑고도 명징하게 드러낸다. 책은 “도나 타트의 《비밀의 계절》에 비견되는 작품(NPR)”이라는 찬사를 받았으며, 출간 직후부터 [뉴욕타임스]와 아마존 베스트셀러 목록에 장기간 이름을 올렸다. 또한 작가가 직접 각본가로 참여해 영상화가 진행 중이다. 서서히 그러나 강력하게 독자를 붙들어두는 ‘슬로번 스릴러’의 묘미를 느끼게 해줄 작품이다."
SQL 자격검정 실전문제,한국데이터진흥원,,,,,,,한국데이터산업진흥원,2023년 12월,17460,9.3,116,https://www.yes24.com/product/goods/124645703,297,국내도서 IT 모바일 컴퓨터 수험서 신규자격증 기타,책소개 없음
사피엔스,유발 하라리,,,,,,,김영사,2015년 11월,24120,9.5,2285,https://www.yes24.com/product/goods/23030284,636,국내도서 인문 인문 교양 교양으로 읽는 인문,"출간 10주년·200쇄·115만부 기념유발 하라리 특별 서문 수록“인공지능의 시대, 우리가 알아야 할 것은 코딩보다 인간의 마음.”인간의 사와 미래에 대한 가장 논쟁적이고 대담한 대서사문명의 배를 타고 진화의 바다를 항해한 인류는 이제 어디로 나아갈 것인가!“당신은 이 책을 사랑할 수밖에 없다.” (제레드 다이아몬드)‘천재 사상가’(뉴욕타임스) 유발 하라리의 대표작 『사피엔스』. 이제 불황이라는 수식어가 전혀 어색하지 않은 국내 출판시장에서도 『사피엔스』는 인문교양 분야의 트렌드를 주도하며 2023년 1월 기준 ‘200쇄 발행·115만부 판매’라는 놀라운 기록을 거두고 있다. 인류 사와 미래를 종횡무진 가로지르는 『사피엔스』의 통찰은 불확실하고 복잡한 세계를 이해하고 대비하는 데 반드시 필요하다. 책 서두에는 2011년 원서 출간 이후 10년을 돌아보고 위기 상황을 맞은 인류에게 건네는 제언이 특별 서문으로 수록되었다. 현재 인류는 그 어느 때보다 어려운 상황을 맞고 있다. 난국을 헤쳐나가기 위해 무엇을 해야 할까? 자는 더 나은 세상을 위한 키워드로 ‘인간 이해’를 강조한다. 출간 10주년 서문이지만 글로벌 베스트셀러를 출간한 개인적인 소회보다는 유례없는 난관을 헤쳐나가기 위해 동료 사피엔스에게 전하는 호소가 담겨 있다."
"어서 와, 중등 비문학은 처음이지? 상",배혜림,,,,,,,데이스타,2025년 09월,16200,10.0,17,https://www.yes24.com/product/goods/153041360,220,국내도서 청소년 공부법,"“중등 비문학 독해, 이 한 권으로 끝내자!”“읽기의 힘이 곧 사고의 힘이다”독해 능력이 국어 성적의 결정적 차이를 만드는 시대,고등학교 진학 전에 꼭 읽어야 할 비문학 독해 훈련서이 책은 학생들이 어떻게 하면 비문학 독해를 쉽고 재미있게 접할 수 있을지에 대한 자의 오랜 고민과 경험을 담아 만든 결과물이다. 중학교에서 고등학교로 진학하면서 학생들은 이전보다 훨씬 길고 복잡한 비문학 지문을 마주하게 된다. 단순히 글자를 읽는 수준을 넘어서 핵심 내용을 파악하고, 문단의 구조를 정리하며, 나아가 자신의 언어로 요약하고 표현하는 능력이 요구된다. 하지만 교과 학습만으로도 벅찬 상황에서 그제야 비문학 독해 훈련을 시작한다면 쉽게 지치고 뒤처지기 마련이다. 긴 글을 읽고 이해하는 힘이 부족한 학생은 요약과 정리 과정에서 금세 포기하게 되고, 결국 어떤 것도 자기 것으로 만들지 못한다. 이것이 바로 중학교 시기부터 차근차근 비문학 독해력을 쌓아야 하는 이유다.이 책은 단순히 글을 읽거나 문제를 푸는 것에 그치지 않고 ‘읽는 힘’을 체계적으로 키울 수 있도록 설계되어 있다. 다양한 주제의 지문을 통해 학생들이 흥미를 잃지 않고 훈련을 이어갈 수 있도록 구성했으며, 지문을 읽는 단계에서부터 핵심을 찾는 방법, 문단을 구조화하는 방법 그리고 생각을 확장해 표현하는 방법까지 단계적으로 구성되어 있다. 결국 국어 성적 향상을 넘어 전 과목 학습의 기반이 되는 독해력과 문해력을 탄탄히 다지는 데 도움이 될 것이다."
너를 아끼며 살아라,나태주,,,,,,,더블북,2025년 06월,16650,9.7,39,https://www.yes24.com/product/goods/147276346,272,국내도서 에세이 한국 에세이,"삶의 고비마다 힘이 되어준 나태주 인생의 말좋아하는 일을 하고 내가 가고 싶은 곳으로 가라“남을 따라서 살 일이 아니다,가슴에 간직한 그 별 놓치지 마라”우리 시대의 큰 어른인 풀꽃 시인 나태주. 그는 베스트셀러 시인이면서 동시에 국내에서 가장 인기 많은 섭외 1순위 명강연자로 통한다. 이 책은 나태주 시인이 강연을 준비하며 틈틈이 메모해 둔 노트에서 가장 많은 사람들에게 공감과 감동을 주었던 글귀들을 가려 뽑아 엮은 책이다.초등학생들에게는 내일의 꿈을 심어주고, 청소년들에게는 가슴에 반짝이는 별을 잃지 말라고 당부하고, 대학생들에게는 미래를 향한 가슴 벅찬 희망의 날개를 달아 주었다. 자신감을 잃어버린 어른들에게는 가고 싶었던 길을 가라고 응원하며 자존감이 낮은 사람들에게 더 나를 사랑하고 아끼며 살라고 조언한다.이 책을 읽다 보면 온 마음을 다해 사랑으로 나를 위해 아낌없이 모든 인생의 지혜를 다 내어주고 싶어 하는 노시인의 간절하고 따뜻한 마음을 느낄 수 있다."
룩 백,후지모토 타츠키,,,,,,,학산문화사,2022년 03월,5400,9.7,682,https://www.yes24.com/product/goods/108192000,144,국내도서 만화 라이트노벨 액션,자신의 재능에 절대적인 자신감이 있는 후지노와 은둔형 외톨이인 쿄모토. 시골 마을에 사는 두 소녀를 서로에게 이끌어서 묶어 준 것은 만화 그리기를 향한 한결같은 마음이었다. 시간은 흘러도 등 뒤를 든든히 받쳐 준 것은 언제나…. 유일무이한 터치로 그려 내는 청춘 장편 단편집.
2025 이지패스 ADsP 데이터분석 준전문가,"전용문, 박현민",,,,,,,위키북스,2025년 01월,27000,9.9,190,https://www.yes24.com/product/goods/140836732,548,국내도서 IT 모바일 컴퓨터 수험서 신규자격증 기타,"2025년 ADsP 시험 합격을 위한 최신 기출문제 완벽 분석! 총 1,695문항 압도적 문제 수 + 수험서 앱(총 27회차 기출 및 모의고사 수록) 제공! 방대한 데이터 분석 콘텐츠를 ADsP 출제 경향에 맞게 컴팩트하게 정리하여 시간에 쫓기는 수험생들에게 최대한 공부 효율을 높일 수 있도록 구성했다. 데이터 분석을 처음 접하는 초심자나 비전공자들이 이해하기 쉽도록 용어와 문장을 다듬었다. 아울러 초심자 비전공자를 위한 ‘EASY BOX’, 출제 경향과 중요도를 안내하는 ‘TIP-BOX’, 풍부한 설명을 담은 ‘참고-BOX’와 그래프, 표 등을 활용하여 이해하기 쉽도록 구성했다. R을 활용한 분석 실습 예제로 실제 적용 과정을 이해할 수 있어, 무작정 외우는 공부가 아닌 이해하는 공부가 될 수 있도록 구성했다. 각 절마다 등장하는 핵심문제, 기출유형문제, 예상문제, 모의고사 3회분, 기출변형문제 3회분 앱에 수록된 기출문제 등 총 1,695문항에 달하는 방대한 문제를 수록하여 문제를 통한 반복 훈련에 부족함이 없도록 구성했다. 중요한 핵심 개념을 총정리 할 수 있는 ‘핵심 요약 강의’와 ‘기출문제 풀이’ 강의를 제공한다. 교재와 함께 활용한다면 효율적인 학습을 할 수 있을 것이다. 자투리 시간을 활용해 틈틈이 학습할 수 있는 수험용 앱을 제공한다. 수험용 앱에서는 총 27회차의 모의고사 및 기출문제를 수록하고 있으며, 자동으로 채점해주는 기능과 오답노트 기능이 있어 효율적으로 학습할 수 있다. 자가 직접 답변해주는 Q&A 게시판과 온라인 스터디가 진행되는 커뮤티니를 운영한다. 궁금한 점을 해결하고, 책에 수록되지 않은 정보와 최신 자료를 얻을 수 있다."
체인소 맨 18,후지모토 타츠키,,,,,,,학산문화사,2024년 12월,5400,9.6,167,https://www.yes24.com/product/goods/140125658,없음,없음,책소개 없음
쇼펜하우어 인생수업 : 한 번뿐인 삶 이렇게 살아라 (리커버 에디션),쇼펜하우어,,,,,,,하이스트,2024년 02월,15750,8.8,170,https://www.yes24.com/product/goods/125085536,212,국내도서 인문 인문 교양 교양으로 읽는 인문,책소개 없음
총 균 쇠,재레드 다이아몬드,,,,,,,김영사,2023년 05월,26820,9.8,381,https://www.yes24.com/product/goods/118755085,784,국내도서 인문 인문 교양 교양으로 읽는 인문,"문명의 생성과 번영의 수수께끼를 밝힌 세계적 명마침내 만나는 출간 25년 기념 뉴에디션!학문의 경계를 넘나드는 세계적 석학 재레드 다이아몬드. 인류 문명에 대한 예리한 통찰을 전해온 그의 대표작이자 1998년 퓰리처상 수상작 《총, 균, 쇠》를 새 번, 새 편집으로 만난다. 왜 어떤 국가는 부유하고 어떤 국가는 가난한가? 왜 어떤 민족은 다른 민족의 정복과 지배의 대상이 되었는가? 생물학, 지리학, 인류학, 사학 등 다양한 학문의 융합을 통해 장대한 인류사를 풀어내며 오늘날 현대 세계가 불평등한 원인을 종합 규명한 혁신적 작. 출간 25년 기념 뉴에디션에는 2023년 자 특별서문과 서울대 인류학과 박한선 교수의 해제, 새 서문과 후기를 수록해 풍성한 읽을거리를 더했다."
서랍에 저녁을 넣어 두었다,한강,,,,,,,문학과지성사,2013년 11월,10800,9.7,951,https://www.yes24.com/product/goods/11467936,165,국내도서 소설 시 희곡 시 희곡 한국 시,"2024 노벨문학상 수상 작가 한강심해의 밤, 침묵에서 길어 올린 핏빛 언어들상처 입은 영혼에 닿는 투명한 빛의 궤적들한강 문학의 시적 기원!“한강의 소설에 등장하는 수많은 그림의 실재가 궁금했던 사람들은 이제 시집 『서랍에 녁을 넣어 두었다』를 펼치면 된다”1993년 계간 『문학과사회』 겨울호에 시 「서울의 겨울」 외 4편을 발표하고 이듬해 『서울신문』 신춘문예에 단편소설 「붉은 닻」이 당선되어 작품 활동을 시작한 한강이 틈틈이 쓰고 발표한 시들 중 60편을 추려 묶어 데뷔 20년 만에 펴낸 첫 시집이다. 인간 삶의 고독과 비애, 삶과 죽음의 경계에서 맞닥뜨리는 어떤 진실과 본질적인 정서들을 특유의 단단하고 시정 어린 문체로 새겨온 시인은 한국소설문학상(1999), 오늘의 젊은 예술가상(2000), 이상문학상(2005), 동리문학상(2010), 만해문학상(2014), 황순원문학상(2015), 인터내셔널 부커상(2016), 말라파르테 문학상(2017), 김유정문학상(2018), 산클레멘테 문학상(2019), 대산문학상(2022), 메디치 외국문학상(2023), 에밀 기메 아시아문학상(2024), 노벨문학상(2024) 등을 수상한 바 있다. 「녁의 소묘」 「새벽에 들은 노래」 「피 흐르는 눈」 「거울 편의 겨울」 연작들의 시편 제목을 일별하는 것만으로도 그 정조가 충분히 감지되는 『서랍에 녁을 넣어 두었다』에는 어둠과 침묵 속에서 더욱 명징해지는 존재와 언어를 투명하게 대면하는 목소리가 가득하다. “말과 동거”하는 숙명을 안은 채 “고통과 절망의 응시 속에서 반짝이는 깨어 있는 언어-영혼”(문학평론가 조연정)을 발견해가는 환희와 경이의 순간이 여기에 있다."
학생회에도 구멍은 있다! 10,무치마로,,,,,,,소미미디어,2025년 10월,5400,10.0,7,https://www.yes24.com/product/goods/155272963,160,국내도서 만화 라이트노벨 코믹,"TV 애니화 결정!!왠지 모르게 세상이 좋아지는, 사랑 가득 학생회 코미디♪“어여 남친이라도 만들게...”후지나스 학원 학생회는 정신없이 이벤트가 발생 중!겨울 밤하늘 아래, 한 이불을 덮고 회장과 우메의 손이…!거기에 이어서, 이름으로 불리는 코마로를 보고 회장이 우메에게 들이댄다--?!대 아리스용 로봇 '메카 아리스'의 등장과, 반나체 아리스의 교내 배회편도 수록!모두가 두근두근한 제⑩권입니다!"
