리뷰일,앱 이름,별점,사용자 리뷰,회사 응답
2025-10-25,"('국민', 'com.kbstar.kbbank&hl=ko')",1.0,아. 답이없네 진짜 이건 아니지 이건 아니야 인증을 수십번을해도 화면꺼지고 뭐 이런걸 만들었지,회사응답 없음
2025-10-24,"('국민', 'com.kbstar.kbbank&hl=ko')",1.0,쓰레기ㅇㅇ 이게맞다,회사응답 없음
2025-10-24,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,간편,회사응답 없음
2025-10-24,"('국민', 'com.kbstar.kbbank&hl=ko')",1.0,갑자기 오류뜨고 화면도 안 나오는데 조치 좀 빨리 취해주세요,회사응답 없음
2025-10-24,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,좋아여,회사응답 없음
2025-10-24,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,만족감,회사응답 없음
2025-10-24,"('국민', 'com.kbstar.kbbank&hl=ko')",4.0,"타금융기관 휴면예금보험을 이 앱에서 간단한 절차 통해 지급 받았어요 몇번의 터치와 잊고 있던 비번 머리 짜서 입력하는 적은 수고로 기관 방문없이 이용할 수 있으니 시간과 비용, 이동시의 수고로움까지 절약👍 앱을 위해 수고하신 모든 분들 감사합니다 ❤️",회사응답 없음
2025-10-24,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,좋아요 사용하기 좋고 편해요,회사응답 없음
2025-10-23,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,굳,회사응답 없음
2025-10-23,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,편해요,회사응답 없음
2025-10-23,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,서울살땐 쭉 써왔는데 지방엔 많이없어서 다시 써보려고요 요즘은 뱅킹어플이 워낙잘되서 ㅎㅎ,회사응답 없음
2025-10-23,"('국민', 'com.kbstar.kbbank&hl=ko')",1.0,간편인증서 발급 과정도 전혀 간편하지가 않고 신분증 인식도 못하고 난리임 아주,회사응답 없음
2025-10-23,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,정말 좋네요~^^!!,회사응답 없음
2025-10-23,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,Bravo ❣️,회사응답 없음
2025-10-23,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,일반통장 상품 가입 절차 쉬웠어요.,회사응답 없음
2025-10-23,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,언제나 친절한 안내 마음에 들어요,회사응답 없음
2025-10-23,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,넘. 편리하네요 ^^,회사응답 없음
2025-10-23,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,제일 나아요,회사응답 없음
2025-10-23,"('국민', 'com.kbstar.kbbank&hl=ko')",1.0,매일걷기 구글 피트니스 연동 없애세요 안되서 삭제하고 다시하고 매일 난리네요,회사응답 없음
2025-10-23,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,안전하게 가입했습니다,회사응답 없음
2025-10-22,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,빠르고 편리함,회사응답 없음
2025-10-22,"('국민', 'com.kbstar.kbbank&hl=ko')",4.0,만족합니다,회사응답 없음
2025-10-22,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,굿굿,회사응답 없음
2025-10-22,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,편해요.,회사응답 없음
2025-10-22,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,좋아요,회사응답 없음
2025-10-22,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,젤좋음,회사응답 없음
2025-10-22,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,생각지 못한 휴면계좌연계도 되니 정말 편리하네요,회사응답 없음
2025-10-22,"('국민', 'com.kbstar.kbbank&hl=ko')",3.0,업데이트하고 나서 건강적금 금리확인 안되고 있음 금리확인 클릭하면 상단에 안내문구만 보이고 하단 그래픽 화면이 안 나타남 기간내에 확인해야 하는거데 빨리 해결책좀 주셈,회사응답 없음
2025-10-22,"('국민', 'com.kbstar.kbbank&hl=ko')",1.0,이체한도가 500인데 24만원도 이체 안되면서 한도 변경하라함ㅋㅋㅋ 구래서 어제 낮게 바꿔서 되더니 또안됨 왜이래 갑자기 주거래 은행 바꿔야하나 하 또 이체 한도 바꾸면 당일은 됨 어이없어,회사응답 없음
2025-10-22,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,국민은행을 너무 잘 편리하게 이용할 수 있어 감사드립니다,회사응답 없음
2025-10-22,"('국민', 'com.kbstar.kbbank&hl=ko')",1.0,어플명이 일본어로바꼈네요 해킹 당했나요?,회사응답 없음
2025-10-22,"('국민', 'com.kbstar.kbbank&hl=ko')",3.0,룰렛 돌릴때 마다 5나10포인트만나와여,회사응답 없음
2025-10-21,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,굿,회사응답 없음
2025-10-21,"('국민', 'com.kbstar.kbbank&hl=ko')",1.0,포인트 받기 퀴즈랑 벨런스게임 다섯고개 책리뷰 다 사라짐 하,회사응답 없음
2025-10-21,"('국민', 'com.kbstar.kbbank&hl=ko')",1.0,뭐하는 앱인지 오류가득,회사응답 없음
2025-10-21,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,혼자 폰가입 편하네요 직접안가도 되고 편리합니다 굳,회사응답 없음
2025-10-21,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,잘 사용하고 있습니다.,회사응답 없음
2025-10-21,"('국민', 'com.kbstar.kbbank&hl=ko')",3.0,익시오가 자꾸 악성앱이라고 삭제하래요.. 왜이럴까 증말 갑자기,회사응답 없음
2025-10-20,"('국민', 'com.kbstar.kbbank&hl=ko')",1.0,선불카드 쓰는데 kb카드 안쓰는 사람들 인증하기 힘드네.,회사응답 없음
2025-10-20,"('국민', 'com.kbstar.kbbank&hl=ko')",3.0,내 투표 어디갔어요 밸런스 게임 얼마나 좋아했는데,회사응답 없음
2025-10-20,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,이체한도 변경 은행 직원분께 배우고 처음 해봤는데 쉽고 좋습니다~,회사응답 없음
2025-10-20,"('국민', 'com.kbstar.kbbank&hl=ko')",1.0,"뱅킹회원 가입할려고 전체 동의하고 신분증을 촬영해서 인식완료 하고 이름, 주민번호, 발급날짜 맞게 나왔는데 계속 정상처리가 안됐다고 나옵니다. 저의 핸드폰이 고장난것도 아니고 와이파이, 데이터도 잘 작동하고 있는데도 안되고 있습니다.",회사응답 없음
2025-10-20,"('국민', 'com.kbstar.kbbank&hl=ko')",1.0,"입출금 알림만 빼고 다 꺼놨는데, 주간환율전망은 뭐 입출금임? 왜 매번 알람 울리는거?",회사응답 없음
2025-10-20,"('국민', 'com.kbstar.kbbank&hl=ko')",1.0,걍2,회사응답 없음
2025-10-20,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,상담원이 친절하고 자세히 알려주어 상품가입에 많은 도움이 되었습니다,회사응답 없음
2025-10-20,"('국민', 'com.kbstar.kbbank&hl=ko')",2.0,"국민오락실, 나무 키우기 나무도 없어지고 물주기 안됨 빨리 안 고침 퀴즈 오답시 다시 생각해보세요도 없고 틀리면 동전 안줌 타 업체랑 비교됨",회사응답 없음
2025-10-20,"('국민', 'com.kbstar.kbbank&hl=ko')",3.0,나이가들은사람은사용하가힘들다,회사응답 없음
2025-10-20,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,이체후 맨 마지막에 누구한테 얼마 입금했는지 나오는 글자들 좀 키워주실 수 있나요? 다른 사람한테 입금했다고 화면 보여줄때 글자가 너무 작아서 읽기 어려워요,회사응답 없음
2025-10-19,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,70대 할머니인데 쉽게 가입할수있어서 좋아요,회사응답 없음
2025-10-19,"('국민', 'com.kbstar.kbbank&hl=ko')",5.0,보안좋아요,회사응답 없음
